table,column,via,root_type,kind,name,declared_at
bloco,conteudo,known-sink,Acao,ts-prop,$title,packages/core/src/fluxo/modelos.ts:16
bloco,conteudo,known-sink,Estado,ts-prop,afterStateChangedActions,packages/core/src/fluxo/modelos.ts:64
bloco,conteudo,known-sink,FluxoBlip,ts-prop,afterStateChangedActions,packages/core/src/fluxo/modelos.ts:93
bloco,conteudo,known-sink,Entrada,ts-prop,bypass,packages/core/src/fluxo/modelos.ts:39
bloco,conteudo,known-sink,Acao,ts-prop,comparison,packages/core/src/fluxo/condicao.ts:45
bloco,conteudo,known-sink,Acao,ts-prop,conditions,packages/core/src/fluxo/modelos.ts:18
bloco,conteudo,known-sink,Entrada,ts-prop,conditions,packages/core/src/fluxo/modelos.ts:40
bloco,conteudo,known-sink,Saida,ts-prop,conditions,packages/core/src/fluxo/modelos.ts:49
bloco,conteudo,known-sink,FluxoBlip,ts-prop,configuration,packages/core/src/fluxo/modelos.ts:94
bloco,conteudo,known-sink,Acao,ts-prop,continueOnError,packages/core/src/fluxo/modelos.ts:21
bloco,conteudo,known-sink,Estado,ts-prop,end,packages/core/src/fluxo/modelos.ts:60
bloco,conteudo,known-sink,Acao,ts-prop,entity,packages/core/src/fluxo/condicao.ts:44
bloco,conteudo,known-sink,Entrada,ts-prop,error,packages/core/src/fluxo/modelos.ts:34
bloco,conteudo,known-sink,Acao,ts-prop,executeAsynchronously,packages/core/src/fluxo/modelos.ts:22
bloco,conteudo,known-sink,Entrada,ts-prop,expiration,packages/core/src/fluxo/modelos.ts:42
bloco,conteudo,known-sink,Acao,ts-prop,id,packages/core/src/fluxo/modelos.ts:15
bloco,conteudo,known-sink,Estado,ts-prop,id,packages/core/src/fluxo/modelos.ts:58
bloco,conteudo,known-sink,FluxoBlip,ts-prop,id,packages/core/src/fluxo/modelos.ts:85
bloco,conteudo,known-sink,Estado,ts-prop,inputActions,packages/core/src/fluxo/modelos.ts:61
bloco,conteudo,known-sink,FluxoBlip,ts-prop,inputActions,packages/core/src/fluxo/modelos.ts:90
bloco,conteudo,known-sink,Estado,ts-prop,input,packages/core/src/fluxo/modelos.ts:62
bloco,conteudo,known-sink,Estado,ts-prop,localCustomActions,packages/core/src/fluxo/modelos.ts:66
bloco,conteudo,known-sink,Acao,ts-prop,operator,packages/core/src/fluxo/condicao.ts:46
bloco,conteudo,known-sink,Acao,ts-prop,order,packages/core/src/fluxo/modelos.ts:17
bloco,conteudo,known-sink,Saida,ts-prop,order,packages/core/src/fluxo/modelos.ts:48
bloco,conteudo,known-sink,Estado,ts-prop,outputActions,packages/core/src/fluxo/modelos.ts:63
bloco,conteudo,known-sink,FluxoBlip,ts-prop,outputActions,packages/core/src/fluxo/modelos.ts:92
bloco,conteudo,known-sink,Estado,ts-prop,outputs,packages/core/src/fluxo/modelos.ts:65
bloco,conteudo,known-sink,Entrada,ts-prop,regex,packages/core/src/fluxo/modelos.ts:32
bloco,conteudo,known-sink,Estado,ts-prop,root,packages/core/src/fluxo/modelos.ts:59
bloco,conteudo,known-sink,Entrada,ts-prop,rule,packages/core/src/fluxo/modelos.ts:31
bloco,conteudo,known-sink,FluxoBlip,ts-prop,sessionState,packages/core/src/fluxo/modelos.ts:89
bloco,conteudo,known-sink,Acao,ts-prop,settings,packages/core/src/fluxo/modelos.ts:24
bloco,conteudo,known-sink,Acao,ts-prop,source,packages/core/src/fluxo/condicao.ts:42
bloco,conteudo,known-sink,Saida,ts-prop,stateId,packages/core/src/fluxo/modelos.ts:50
bloco,conteudo,known-sink,FluxoBlip,ts-prop,states,packages/core/src/fluxo/modelos.ts:91
bloco,conteudo,known-sink,Acao,ts-prop,timeout,packages/core/src/fluxo/modelos.ts:20
bloco,conteudo,known-sink,Acao,ts-prop,type,packages/core/src/fluxo/modelos.ts:23
bloco,conteudo,known-sink,Entrada,ts-prop,type,packages/core/src/fluxo/modelos.ts:33
bloco,conteudo,known-sink,FluxoBlip,ts-prop,type,packages/core/src/fluxo/modelos.ts:88
bloco,conteudo,known-sink,Entrada,ts-prop,validation,packages/core/src/fluxo/modelos.ts:41
bloco,conteudo,known-sink,Acao,ts-prop,values,packages/core/src/fluxo/condicao.ts:47
bloco,conteudo,known-sink,Acao,ts-prop,variable,packages/core/src/fluxo/condicao.ts:43
bloco,conteudo,known-sink,Entrada,ts-prop,variable,packages/core/src/fluxo/modelos.ts:43
bloco,conteudo,known-sink,FluxoBlip,ts-prop,version,packages/core/src/fluxo/modelos.ts:86
dicionarioCampo,settings,read-cast,{ type?: unknown; } | undefined,ts-prop,type,packages/core/src/fluxo/editor.ts:203
